orig.ident,celltype_major,full_hallmark_emt,full_epithelial,panel313_measured_hallmark,panel280_measured_hallmark,panel313_tf_candidate,panel280_tf_candidate,panel313_full_fit_prediction,panel280_full_fit_prediction,n_cells
CID3586,B-cells,0.07916601735620622,0.01381304573123676,0.1087901938734344,0.11380803380020456,0.0,0.0,0.10468294960273897,0.1068932528340111,321
CID3586,CAFs,0.42965460104113934,0.021085439514965186,1.385392445578691,1.3315787511032031,0.010810810810810811,0.005405405405405406,0.37511517469120514,0.37300814322180353,185
CID3586,Endothelial,0.23230938006999538,0.06619762449907067,0.18555412740086982,0.1960835324728471,0.01910828025477707,0.012738853503184714,0.16786390217868116,0.17392035959262653,157
CID3586,Myeloid,0.15129197059565908,0.011737624857049015,0.23197619562294847,0.24486457797806832,0.02,0.02,0.16833112973202755,0.17835561251789747,200
CID3586,Normal Epithelial,0.20080651881188344,1.0532979916469043,0.5672256737196752,0.6184754364742315,0.0,0.0,0.20629286035946098,0.2066085058068155,698
CID3586,PVL,0.41262561661992225,0.08682459754441917,1.1158254260298472,1.0236000079048262,0.047619047619047616,0.047619047619047616,0.35759812028305615,0.3560340619788662,21
CID3586,T-cells,0.11137678920525883,0.006035954397119256,0.10451261326877948,0.10970472521783235,0.0002175805047867711,0.0002175805047867711,0.13712330424968888,0.1412080191715412,4596
CID3838,B-cells,0.12528488829223117,0.006918230467289713,0.36102078211063676,0.38111913519838625,0.0,0.0,0.11561163287648553,0.12310180578880285,47
CID3838,CAFs,1.0657993750978354,0.06326801558115278,3.5586454866341906,3.491072761027646,0.41379310344827586,0.4039408866995074,0.7847836251751394,0.7733899523274768,203
CID3838,Endothelial,0.4066352099312578,0.11658043910537293,0.8344715019386895,0.869343485469135,0.20202020202020202,0.20202020202020202,0.2909201858187549,0.2961592827018053,99
CID3838,Myeloid,0.31272685484355545,0.012741549663644684,0.8410756209053794,0.8899626832901517,0.18018018018018017,0.17342342342342343,0.3182127733249303,0.336671297722714,444
