sample,patient,radius_um,null,mark,n_cells,n_positive,n_strata,n_positive_in_frozen_strata,expected_pairs_analytic,covariate,observed_positive_mean,null_mean,null_025,null_975
NCBI785,P07,100,global,coexpression,62168,1135,1,0,1429.2823929763454,log_nonmarker_transcripts,5.565790221955537,5.183043162824041,5.147755277925316,5.218420681447593
NCBI785,P07,100,global,coexpression,62168,1135,1,0,1429.2823929763454,log_cell_area,5.427054185748182,4.875600090387387,4.843957475771116,4.907151960523212
NCBI785,P07,100,global,coexpression,62168,1135,1,0,1429.2823929763454,nonmarker_detected_genes,79.14625550660793,60.36658549539087,59.35321585903083,61.38277533039648
NCBI785,P07,100,global,coexpression,62168,1135,1,0,1429.2823929763454,local_stromal_fraction,0.1451273865363148,0.09964471958304652,0.09482083954861079,0.10451761466550952
NCBI785,P07,100,global,coexpression,62168,1135,1,0,1429.2823929763454,local_myoepithelial_fraction,0.02870489446306155,0.05503186379769362,0.04996565666747061,0.060407736043340335
NCBI785,P07,100,technical,coexpression,62168,1135,180,0,1587.7213225536268,log_nonmarker_transcripts,5.565790221955537,5.595529657682858,5.587946365576155,5.603079541867507
NCBI785,P07,100,technical,coexpression,62168,1135,180,0,1587.7213225536268,log_cell_area,5.427054185748182,5.360321875036887,5.350258647382,5.371233682682479
NCBI785,P07,100,technical,coexpression,62168,1135,180,0,1587.7213225536268,nonmarker_detected_genes,79.14625550660793,76.88111809208569,76.61480176211454,77.15506607929515
NCBI785,P07,100,technical,coexpression,62168,1135,180,0,1587.7213225536268,local_stromal_fraction,0.1451273865363148,0.12062050094908937,0.1158881762419288,0.12556636303928256
NCBI785,P07,100,technical,coexpression,62168,1135,180,0,1587.7213225536268,local_myoepithelial_fraction,0.02870489446306155,0.02959442979863862,0.027139064959458694,0.03227561492264827
NCBI785,P07,100,technical,nuclear,62168,136,180,0,21.91357322666461,log_nonmarker_transcripts,5.523003496538715,5.516246781208777,5.496133215062295,5.537520319354639
NCBI785,P07,100,technical,nuclear,62168,136,180,0,21.91357322666461,log_cell_area,5.178423450334164,5.19421166241154,5.168060465977098,5.2216910936508265
NCBI785,P07,100,technical,nuclear,62168,136,180,0,21.91357322666461,nonmarker_detected_genes,73.97058823529412,72.3685077833034,71.66176470588235,73.11029411764706
NCBI785,P07,100,technical,nuclear,62168,136,180,0,21.91357322666461,local_stromal_fraction,0.1338776713556056,0.11103274764934135,0.09737637480752549,0.12480154592012024
NCBI785,P07,100,technical,nuclear,62168,136,180,0,21.91357322666461,local_myoepithelial_fraction,0.04205153002781739,0.03488569597429069,0.02724998455904982,0.043394225031361464
NCBI785,P07,100,context,coexpression,62168,1135,709,0,1561.4836811760135,log_nonmarker_transcripts,5.565790221955537,5.592240208879062,5.585020939726751,5.599735890934828
NCBI785,P07,100,context,coexpression,62168,1135,709,0,1561.4836811760135,log_cell_area,5.427054185748182,5.362739693544958,5.352413509431744,5.3736570731651865
NCBI785,P07,100,context,coexpression,62168,1135,709,0,1561.4836811760135,nonmarker_detected_genes,79.14625550660793,77.04735054752045,76.7885462555066,77.30660792951542
NCBI785,P07,100,context,coexpression,62168,1135,709,0,1561.4836811760135,local_stromal_fraction,0.1451273865363148,0.14041646378856806,0.13746184087936958,0.14336304073132783
NCBI785,P07,100,context,coexpression,62168,1135,709,0,1561.4836811760135,local_myoepithelial_fraction,0.02870489446306155,0.030145885156067247,0.028423681290033982,0.03196370543255134
NCBI784,P07,100,global,coexpression,34650,706,1,0,895.6859315542774,log_nonmarker_transcripts,5.591567867103664,5.277074033905686,5.232970696682019,5.320666731662759
NCBI784,P07,100,global,coexpression,34650,706,1,0,895.6859315542774,log_cell_area,5.386222261005831,4.901587903282313,4.862168896964378,4.94134219399565
NCBI784,P07,100,global,coexpression,34650,706,1,0,895.6859315542774,nonmarker_detected_genes,79.87960339943342,63.26563281640821,61.99567988668555,64.52124645892351
NCBI784,P07,100,global,coexpression,34650,706,1,0,895.6859315542774,local_stromal_fraction,0.1807353245851842,0.11460071587094875,0.10758397974895881,0.12209716564398106
NCBI784,P07,100,global,coexpression,34650,706,1,0,895.6859315542774,local_myoepithelial_fraction,0.04930591550103629,0.07529449023462971,0.06789755869367994,0.08264544430919565
NCBI784,P07,100,technical,coexpression,34650,706,180,0,946.9638961727683,log_nonmarker_transcripts,5.591567867103664,5.630351962804289,5.620061543522568,5.640417470173834
NCBI784,P07,100,technical,coexpression,34650,706,180,0,946.9638961727683,log_cell_area,5.386222261005831,5.332558113105094,5.31817035983219,5.347376367910682
NCBI784,P07,100,technical,coexpression,34650,706,180,0,946.9638961727683,nonmarker_detected_genes,79.87960339943342,77.56257094552942,77.21657223796034,77.89242209631728
NCBI784,P07,100,technical,coexpression,34650,706,180,0,946.9638961727683,local_stromal_fraction,0.1807353245851842,0.13754737645528142,0.13084723190124325,0.14491954584306374
NCBI784,P07,100,technical,coexpression,34650,706,180,0,946.9638961727683,local_myoepithelial_fraction,0.04930591550103629,0.05017561271126804,0.04630669266459994,0.05413572371827402
NCBI784,P07,100,technical,nuclear,34650,115,180,0,22.70514661372779,log_nonmarker_transcripts,5.648787120819563,5.631726489296468,5.607971492587876,5.654776340963117
NCBI784,P07,100,technical,nuclear,34650,115,180,0,22.70514661372779,log_cell_area,5.223831772346543,5.210176750405626,5.180550413303115,5.244028961976771
NCBI784,P07,100,technical,nuclear,34650,115,180,0,22.70514661372779,nonmarker_detected_genes,79.49565217391304,76.48449007112252,75.66956521739131,77.37434782608695
NCBI784,P07,100,technical,nuclear,34650,115,180,0,22.70514661372779,local_stromal_fraction,0.16351587262604683,0.12551501937904228,0.10772989540266636,0.14352228365450106
NCBI784,P07,100,technical,nuclear,34650,115,180,0,22.70514661372779,local_myoepithelial_fraction,0.07942186928838284,0.07470196033304587,0.06327822259437255,0.08723539983353203
NCBI784,P07,100,context,coexpression,34650,706,547,0,920.266313472983,log_nonmarker_transcripts,5.591567867103664,5.624330316711017,5.614844526797328,5.633900934576172
NCBI784,P07,100,context,coexpression,34650,706,547,0,920.266313472983,log_cell_area,5.386222261005831,5.336267117580214,5.321345481341022,5.3511245385075785
NCBI784,P07,100,context,coexpression,34650,706,547,0,920.266313472983,nonmarker_detected_genes,79.87960339943342,77.83338765700131,77.5014164305949,78.17145892351274
NCBI784,P07,100,context,coexpression,34650,706,547,0,920.266313472983,local_stromal_fraction,0.1807353245851842,0.17154844145544712,0.16696790502454797,0.1762470197058662
NCBI784,P07,100,context,coexpression,34650,706,547,0,920.266313472983,local_myoepithelial_fraction,0.04930591550103629,0.05123550410298881,0.04826741547231487,0.05436694324631156
NCBI783,P08,100,global,coexpression,14453,912,1,0,1653.4162818220123,log_nonmarker_transcripts,5.4714611427658495,5.17899052828245,5.126934847411021,5.228004868620036
NCBI783,P08,100,global,coexpression,14453,912,1,0,1653.4162818220123,log_cell_area,5.700394512556101,5.441591526651834,5.401580537076139,5.479776842737735
NCBI783,P08,100,global,coexpression,14453,912,1,0,1653.4162818220123,nonmarker_detected_genes,78.21600877192982,62.98495574541657,61.66759868421053,64.32242324561403
NCBI783,P08,100,global,coexpression,14453,912,1,0,1653.4162818220123,local_stromal_fraction,0.23835498015197742,0.1824646895714422,0.17444737655345327,0.19041125880562984
NCBI783,P08,100,global,coexpression,14453,912,1,0,1653.4162818220123,local_myoepithelial_fraction,0.013521765495243379,0.023063884745395148,0.01998044982456901,0.026340586906090497
NCBI783,P08,100,technical,coexpression,14453,912,45,0,1663.175943459773,log_nonmarker_transcripts,5.4714611427658495,5.5031305729781925,5.494588647130658,5.512077176203334
NCBI783,P08,100,technical,coexpression,14453,912,45,0,1663.175943459773,log_cell_area,5.700394512556101,5.688250782171406,5.677972207369279,5.698706179137832
NCBI783,P08,100,technical,coexpression,14453,912,45,0,1663.175943459773,nonmarker_detected_genes,78.21600877192982,76.43146737842605,76.11611842105263,76.7611293859649
NCBI783,P08,100,technical,coexpression,14453,912,45,0,1663.175943459773,local_stromal_fraction,0.23835498015197742,0.20150416547469535,0.19417526170188218,0.20897500503260266
NCBI783,P08,100,technical,coexpression,14453,912,45,0,1663.175943459773,local_myoepithelial_fraction,0.013521765495243379,0.018546913463091546,0.016125130594206297,0.021331639824232976
NCBI783,P08,100,technical,nuclear,14453,178,45,0,69.19215026335554,log_nonmarker_transcripts,5.580989034238984,5.607309893914523,5.586291786348562,5.6285242911575235
NCBI783,P08,100,technical,nuclear,14453,178,45,0,69.19215026335554,log_cell_area,5.674740842233067,5.677959606123047,5.654656923435622,5.702177136497027
NCBI783,P08,100,technical,nuclear,14453,178,45,0,69.19215026335554,nonmarker_detected_genes,81.19662921348315,79.3257555744164,78.56179775280899,80.10112359550561
NCBI783,P08,100,technical,nuclear,14453,178,45,0,69.19215026335554,local_stromal_fraction,0.2185019398695244,0.19899332209176346,0.18172140704150477,0.21731001429230767
NCBI783,P08,100,technical,nuclear,14453,178,45,0,69.19215026335554,local_myoepithelial_fraction,0.012296996605578415,0.017113298580719166,0.011733487387973435,0.02313152056571825
NCBI783,P08,100,context,coexpression,14453,912,175,0,1778.3785611887486,log_nonmarker_transcripts,5.4714611427658495,5.499066171865021,5.4904998285816315,5.507426019857438
NCBI783,P08,100,context,coexpression,14453,912,175,0,1778.3785611887486,log_cell_area,5.700394512556101,5.686946717263386,5.676934568463483,5.69773797625186
NCBI783,P08,100,context,coexpression,14453,912,175,0,1778.3785611887486,nonmarker_detected_genes,78.21600877192982,76.56761330226516,76.25548245614036,76.87615131578947
NCBI783,P08,100,context,coexpression,14453,912,175,0,1778.3785611887486,local_stromal_fraction,0.23835498015197742,0.231196966034293,0.22770101199894563,0.2348749991512808
NCBI783,P08,100,context,coexpression,14453,912,175,0,1778.3785611887486,local_myoepithelial_fraction,0.013521765495243379,0.013425726049541668,0.011505660226715543,0.015474083801397366
